Country,GDP_growth,GDP_per_capita,Inflation,Unemployment,Debt,Deficit,Current_account
St. Kitts and Nevis,4.731,23705.137,2.46,,51.734,-0.232,-6.529
St. Lucia,2.442,14101.38,1.759,,75.839,-2.389,-5.526
St. Vincent and the Grenadines,5.3,10150.323,2.955,,87.491,-7.394,-16.779
Sudan,-4.201,546.707,145.535,49.543,280.313,-2.53,-6.918
Suriname,2.962,6702.27,20.741,10.3,87.914,-1.006,2.127
Sweden,0.215,58528.523,2.574,8.365,35.986,-0.661,5.954
Switzerland,1.341,105668.981,1.537,2.25,36.732,0.504,8.239
São Tomé and Príncipe,2.9,3167.295,14.191,,42.614,0.891,-9.158
Taiwan Province of China,3.072,34431.965,1.881,3.67,22.497,-0.539,13.897
Tajikistan,6.456,1271.387,4.915,,30.755,-2.503,-2.123
Tanzania,5.503,1220.356,4.038,,46.059,-2.718,-4.18
Thailand,2.7,7811.598,0.7,1.1,64.51,-3.711,1.651
The Bahamas,2.299,35257.198,2.042,8.79,83.979,-2.558,-6.741
The Gambia,6.223,989.17,15.123,,64.252,-2.573,-4.436
Timor-Leste,3.5,1453.668,3.508,,14.237,-42.484,-42.002
Togo,5.3,1058.319,2.742,,68.255,-5.969,-3.863
Tonga,2.524,5840.151,5.42,,43.794,-6.587,-7.321
Trinidad and Tobago,2.363,19861.182,1.484,,56.028,-2.734,5.661
Tunisia,1.878,4435.001,7.358,16.4,78.64,-5.394,-3.464
Turkmenistan,2.293,12412.043,4.955,,4.655,0.896,4.056
Tuvalu,3.514,6001.056,4.131,,7.003,1.898,-1.199
Türkiye,3.102,12764.707,59.52,9.6,30.873,-5.445,-2.772
Uganda,5.631,1201.968,3.81,,49.718,-4.125,-7.264
Ukraine,3.202,5662.948,6.446,14.514,94.048,-13.732,-5.732
United Arab Emirates,3.515,53916.025,2.1,,30.271,4.527,7.776
United Kingdom,0.46,51074.793,2.453,4.15,104.347,-4.581,-2.596
United States,2.725,85372.686,2.907,3.993,123.256,-6.536,-2.546
Uruguay,3.7,23087.682,5.765,8.09,61.886,-2.769,-3.639
Uzbekistan,5.198,2665.812,11.579,7.851,36.015,-3.737,-4.925
Vanuatu,2.968,3733.74,7.631,,43.953,-7.459,-4.276
Venezuela,4.0,3867.439,99.981,,148.23,-3.39,4.714
Vietnam,5.815,4622.544,3.74,2.063,33.45,-2.356,2.278
West Bank and Gaza,-6.134,3396.263,5.872,28.65,45.393,-1.057,-13.147
Yemen,-1.0,486.382,16.909,,81.395,-3.755,-23.696
Zambia,4.715,1413.421,11.37,,115.233,-6.142,3.746
Zimbabwe,3.196,2087.614,560.981,,98.483,-9.93,0.212
